snippet,description,A,r,i,b
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
mint,Minted environment,False,False,False,True
title,mytitlepage environment for FMF documents,True,False,False,True
(^|[^a-zA-Z\\])mm,Inline math $ $,True,True,False,False
env,New environment,True,False,False,True
eenv,New environment,True,False,False,True
nn,Equation environment with suppressed numbering,True,False,False,True
all,Align environment with suppressed numbering,True,False,False,True
itt,Itemize environment,True,False,False,True
rit,"Reversed itemize environment, used to split up an existing itemize environment",False,False,False,True
enn,Enumerate environment,True,False,False,True
tc,tcolorbox environment,True,False,False,True
pm,Parentheses matrix pmatrix,True,False,False,True
mq,\mqty() (matrix for inline math),True,False,False,False
case,Cases environment,True,False,False,True
arr,Array environment,False,False,False,True
qu,Quote environment,False,False,False,True
VV,Verbatim environment,True,False,False,True
